id,=BredPreg,"=if(BredAbort,1,0)",=evsireNAAB,=@date(LACT),=evnumt,=evnum,=evdate,EvGap,Tech,=@date(Pen),"=if(bredsexed,1,0)",BredReas,=@date(dim),=now(apiId),=evloc,=now(owner),=now(BRD),=@date(age),=now(Other2ID),=now(Other5ID),ConceptRate,BredUnk,EvSireBreed,EvSireStudCd,evWeek,=now(Age1BLT),=now(Total),=now(ApiId),EvId,EvTypeShort,=details/units,=details/sire,=details/sexed,=details/bredreason,isChore,InvldBrd,BredPreg,BredAbort,EvSireNAAB,LACT,EvNumT,EvNum,EvDate,Pen,BREDsexed,Proto,DIM,ApiId,EvLoc,Owner,BRD,AGE,Other2ID,Other5ID,BredOpen,BredRes,Age1BLT,Total,details/units,details/sire,details/sexed,details/bredreason,EvType
787390905,true,0,151AN1692,0,3,3,2022-05-09,2,Noe Gonzalez,14,0,Chalk,,8755308,Red Rock Dairy,Red Rock Dairy,Holstein,406,,,100,false,AN,151,2022-05-08,386,total,8755308,787390905,bred,1,606098,0,Chalk,false,0,true,false,151AN1692,0,3,3,2022-05-09,0,0,,,787390905,Red Rock Dairy,,,,,,false,Preg,,total,1,606098,0,Chalk,Bred
764936633,false,0,551AN1609,0,3,3,2022-03-28,12,Rigo Trejo,14,1,Chalk,,8536551,Red Rock Dairy,Red Rock Dairy,Holstein,413,,,0,false,AN,551,2022-03-27,384,total,8536551,764936633,bred,1,606097,1,Chalk,false,0,false,false,551AN1609,0,3,3,2022-03-28,0,1,,,764936633,Red Rock Dairy,,,,,,true,Open,,total,1,606097,1,Chalk,Bred
764936583,true,0,551HO4355,0,1,1,2022-03-28,,Rigo Trejo,14,0,Chalk,,8859280,Red Rock Dairy,Red Rock Dairy,Holstein,386,,,100,false,HO,551,2022-03-27,386,total,8859280,764936583,bred,1,448847,0,Chalk,false,0,true,false,551HO4355,0,1,1,2022-03-28,0,0,,,764936583,Red Rock Dairy,,,,,,false,Preg,,total,1,448847,0,Chalk,Bred
770089348,false,0,551HO4429,0,2,2,2022-04-06,21,Noe Gonzalez,14,0,Chalk,,8585007,Red Rock Dairy,Red Rock Dairy,Holstein,409,,,0,false,HO,551,2022-04-03,388,total,8585007,770089348,bred,1,446446,0,Chalk,false,0,false,false,551HO4429,0,2,2,2022-04-06,0,0,,,770089348,Red Rock Dairy,,,,,,true,Open,,total,1,446446,0,Chalk,Bred
750395778,true,0,551AN1609,2,1,1,2022-04-21,,Martin Medrano,2,1,Double Ovsynch 2PgF,81,4506709,Red Rock Dairy,Red Rock Dairy,Holstein,1103,561,,100,false,AN,551,2022-04-17,386,total,4506709,750395778,bred,1,606097,1,Double Ovsynch 2PgF,false,0,true,false,551AN1609,0,1,1,2022-04-21,0,1,Double Ovsynch 2PgF,,750395778,Red Rock Dairy,,,,,,false,Preg,,total,1,606097,1,Double Ovsynch 2PgF,Bred
778121611,false,0,151AN1692,8,2,2,2022-04-28,35,Noe Gonzalez,9,1,Lut to Breed,119,3152446,Red Rock Dairy,Red Rock Dairy,Holstein,3557,,,0,false,AN,151,2022-04-24,785,total,3152446,778121611,bred,1,606098,1,Lut to Breed,false,0,false,false,151AN1692,0,2,2,2022-04-28,0,1,Lut to Breed,,778121611,Red Rock Dairy,,,,,,true,Open,,total,1,606098,1,Lut to Breed,Bred
771846538,false,0,551AN1609,3,3,3,2022-03-31,35,Rigo Trejo,10,1,,150,3156646,Red Rock Dairy,Red Rock Dairy,Holstein,1704,,,0,false,AN,551,2022-03-27,368,total,3156646,771846538,bred,1,606097,1,,false,0,false,false,551AN1609,0,3,3,2022-03-31,0,1,,,771846538,Red Rock Dairy,,,,,,true,Open,,total,1,606097,1,,Bred
787390859,true,0,551HO4429,0,1,1,2022-05-09,,Noe Gonzalez,14,0,Chalk,,8711241,Red Rock Dairy,Red Rock Dairy,Holstein,389,,,100,false,HO,551,2022-05-08,389,total,8711241,787390859,bred,1,446446,0,Chalk,false,0,true,false,551HO4429,0,1,1,2022-05-09,0,0,,,787390859,Red Rock Dairy,,,,,,false,Preg,,total,1,446446,0,Chalk,Bred
778121631,true,0,151AN1692,3,2,2,2022-04-28,35,Rigo Trejo,9,1,Lut to Breed,113,3156465,Red Rock Dairy,Red Rock Dairy,Holstein,1523,,,100,false,AN,151,2022-04-24,387,total,3156465,778121631,bred,1,606098,1,Lut to Breed,false,0,true,false,151AN1692,0,2,2,2022-04-28,0,1,Lut to Breed,,778121631,Red Rock Dairy,,,,,,false,Preg,,total,1,606098,1,Lut to Breed,Bred
758612452,false,0,551HO4355,1,1,1,2022-05-05,,Noe Gonzalez,1,1,Double Ovsynch 2PgF,79,6054916,Red Rock Dairy,Red Rock Dairy,Holstein,779,561,,0,false,HO,551,2022-05-01,384,total,6054916,758612452,bred,1,448847,1,Double Ovsynch 2PgF,false,0,false,false,551HO4355,0,1,1,2022-05-05,0,1,Double Ovsynch 2PgF,,758612452,Red Rock Dairy,,,,,,true,Open,,total,1,448847,1,Double Ovsynch 2PgF,Bred
