# Preg,AbortRes,SireBull,LACT,Ev#L,#Ev,Date,EvGap,Tech,Pen,bred.sexed,BredReas,DIM@E,AnId,FarmLoc,AnOwner,BRD,Age(da),Other2ID,Other5ID,ConceptRate,BredUnk,EvSireBreed,EvSireStudCd,evWeek,Age1BLT,Total
0,0,151AN1692,1,5,5,31/03/2022,35,Noe Gonzalez,2,1,Lut to Breed,221,5680204,Red Rock Dairy,Red Rock Dairy,Holstein,879,,,0,FALSE,AN,151,27/03/2022,386,total
1,0,551HO4425,1,2,2,31/03/2022,35,Martin Medrano,1,1,Lut to Breed,114,5888459,Red Rock Dairy,Red Rock Dairy,Holstein,799,126,,100,FALSE,HO,551,27/03/2022,382,total
1,0,551HO4425,1,2,2,31/03/2022,35,Martin Medrano,1,1,Lut to Breed,112,5842993,Red Rock Dairy,Red Rock Dairy,Holstein,815,234,,100,FALSE,HO,551,27/03/2022,386,total
0,0,551HO4425,1,2,2,31/03/2022,35,Rigo Trejo,1,1,Lut to Breed,114,6098969,Red Rock Dairy,Red Rock Dairy,Holstein,771,234,,0,FALSE,HO,551,27/03/2022,381,total
1,0,551HO4425,1,2,2,31/03/2022,35,Rigo Trejo,1,1,Lut to Breed,113,6223338,Red Rock Dairy,Red Rock Dairy,Holstein,774,126,,100,FALSE,HO,551,27/03/2022,386,total
0,0,551HO4425,1,2,2,31/03/2022,42,Noe Gonzalez,1,1,Lut to Breed,122,6099048,Red Rock Dairy,Red Rock Dairy,Holstein,771,126,,0,FALSE,HO,551,27/03/2022,382,total
0,0,551HO4425,1,2,2,31/03/2022,35,Rigo Trejo,1,1,Lut to Breed,113,5799701,Red Rock Dairy,Red Rock Dairy,Holstein,792,234,,0,FALSE,HO,551,27/03/2022,407,total
1,0,551HO4425,1,2,2,31/03/2022,35,Noe Gonzalez,1,1,Lut to Breed,110,5894647,Red Rock Dairy,Red Rock Dairy,Holstein,795,123,,100,FALSE,HO,551,27/03/2022,387,total
0,0,151AN1692,2,3,3,31/03/2022,35,Noe Gonzalez,2,1,Lut to Breed,153,4343744,Red Rock Dairy,Red Rock Dairy,Holstein,1166,,,0,FALSE,AN,151,27/03/2022,386,total
0,0,151AN1692,1,4,4,31/03/2022,35,Noe Gonzalez,2,1,Lut to Breed,184,5525004,Red Rock Dairy,Red Rock Dairy,Holstein,852,,,0,FALSE,AN,151,27/03/2022,387,total
1,0,551AN1609,2,2,2,31/03/2022,35,Rigo Trejo,2,1,Lut to Breed,117,3712150,Red Rock Dairy,Red Rock Dairy,Holstein,1215,,,100,FALSE,AN,551,27/03/2022,387,total
1,0,151AN1692,1,3,3,31/03/2022,35,Rigo Trejo,2,1,Lut to Breed,145,5932728,Red Rock Dairy,Red Rock Dairy,Holstein,821,123,,100,FALSE,AN,151,27/03/2022,384,total
1,0,151AN1692,2,2,2,31/03/2022,35,Noe Gonzalez,2,1,Lut to Breed,119,4683010,Red Rock Dairy,Red Rock Dairy,Holstein,1126,,,100,FALSE,AN,151,27/03/2022,388,total
1,0,151AN1692,3,2,2,31/03/2022,35,Noe Gonzalez,2,1,Lut to Breed,119,3156907,Red Rock Dairy,Red Rock Dairy,Holstein,1652,,,100,FALSE,AN,151,27/03/2022,365,total
0,0,151AN1692,2,4,4,07/04/2022,49,Rigo Trejo,2,1,Ovsynch,201,3711845,Red Rock Dairy,Red Rock Dairy,Holstein,1222,,,0,FALSE,AN,151,03/04/2022,386,total
0,0,551AN1609,1,2,2,31/03/2022,35,Rigo Trejo,2,1,Lut to Breed,114,5978435,Red Rock Dairy,Red Rock Dairy,Holstein,836,,,0,FALSE,AN,551,27/03/2022,382,total
1,0,151AN1692,1,3,3,31/03/2022,35,Rigo Trejo,2,1,Lut to Breed,149,5850361,Red Rock Dairy,Red Rock Dairy,Holstein,813,126,,100,FALSE,AN,151,27/03/2022,396,total
0,0,151AN1692,2,4,4,31/03/2022,35,Noe Gonzalez,2,1,Lut to Breed,215,3783264,Red Rock Dairy,Red Rock Dairy,Holstein,1239,,,0,FALSE,AN,151,27/03/2022,390,total
0,0,151AN1692,2,2,2,31/03/2022,35,Martin Medrano,2,1,Lut to Breed,113,3862397,Red Rock Dairy,Red Rock Dairy,Holstein,1253,,,0,FALSE,AN,151,27/03/2022,403,total
1,0,551AN1609,1,2,2,31/03/2022,35,Noe Gonzalez,2,1,Lut to Breed,111,6099066,Red Rock Dairy,Red Rock Dairy,Holstein,770,561,,100,FALSE,AN,551,27/03/2022,389,total
1,0,151AN1692,1,3,3,31/03/2022,35,Rigo Trejo,2,1,Lut to Breed,146,6012358,Red Rock Dairy,Red Rock Dairy,Holstein,827,234,,100,FALSE,AN,151,27/03/2022,384,total
0,0,551h0o4355,0,1,1,28/03/2022,,Rigo Trejo,14,0,Chalk,,8536546,Red Rock Dairy,Red Rock Dairy,Holstein,412,,,0,FALSE,,,27/03/2022,412,total
1,0,551h0o4355,0,1,1,28/03/2022,,Rigo Trejo,14,0,Chalk,,8899169,Red Rock Dairy,Red Rock Dairy,Holstein,383,,,100,FALSE,,,27/03/2022,383,total
0,0,551AN1609,0,1,1,28/03/2022,,Rigo Trejo,14,1,Chalk,,8450464,Red Rock Dairy,Red Rock Dairy,Holstein,388,666,,0,FALSE,AN,551,27/03/2022,388,total
1,0,551h0o4355,0,1,1,28/03/2022,,Rigo Trejo,14,0,Chalk,,8450475,Red Rock Dairy,Red Rock Dairy,Holstein,387,,,100,FALSE,,,27/03/2022,387,total
1,0,551h0o4355,0,1,1,28/03/2022,,Rigo Trejo,14,0,Chalk,,8883069,Red Rock Dairy,Red Rock Dairy,Holstein,383,,,100,FALSE,,,27/03/2022,383,total
0,0,551AN1609,0,1,1,28/03/2022,,Rigo Trejo,14,1,Chalk,,8450479,Red Rock Dairy,Red Rock Dairy,Holstein,388,666,,0,FALSE,AN,551,27/03/2022,388,total
1,0,551AN1609,0,1,1,28/03/2022,,Rigo Trejo,14,1,Chalk,,8570699,Red Rock Dairy,Red Rock Dairy,Holstein,403,666,,100,FALSE,AN,551,27/03/2022,403,total
0,0,551h0o4355,0,2,2,28/03/2022,20,Rigo Trejo,14,0,Chalk,,8570688,Red Rock Dairy,Red Rock Dairy,Holstein,404,,,0,FALSE,,,27/03/2022,384,total
0,0,551AN1609,0,3,3,28/03/2022,35,Rigo Trejo,14,1,Chalk,,8218434,Red Rock Dairy,Red Rock Dairy,Holstein,441,666,,0,FALSE,AN,551,27/03/2022,385,total
0,0,551h0o4355,0,1,1,28/03/2022,,Rigo Trejo,14,0,Chalk,,8584993,Red Rock Dairy,Red Rock Dairy,Holstein,401,,,0,FALSE,,,27/03/2022,401,total
0,0,551h0o4355,0,1,1,28/03/2022,,Rigo Trejo,14,0,Chalk,,8452954,Red Rock Dairy,Red Rock Dairy,Holstein,386,,,0,FALSE,,,27/03/2022,386,total
1,0,551h0o4355,0,1,1,28/03/2022,,Rigo Trejo,14,0,Chalk,,8452955,Red Rock Dairy,Red Rock Dairy,Holstein,386,666,,100,FALSE,,,27/03/2022,386,total
1,0,551HO4425,0,1,1,29/03/2022,,Noe Gonzalez,14,1,Chalk,,8862886,Red Rock Dairy,Red Rock Dairy,Holstein,386,,,100,FALSE,HO,551,27/03/2022,386,total
0,0,551h0o4429,0,2,2,29/03/2022,21,Noe Gonzalez,14,0,Chalk,,8562298,Red Rock Dairy,Red Rock Dairy,Holstein,407,,,0,FALSE,,,27/03/2022,386,total
1,0,551h0o4429,0,1,1,29/03/2022,,Noe Gonzalez,14,0,Chalk,,8443099,Red Rock Dairy,Red Rock Dairy,Holstein,389,,,100,FALSE,,,27/03/2022,389,total
1,0,551HO4425,0,1,1,29/03/2022,,Noe Gonzalez,14,1,Chalk,,8452957,Red Rock Dairy,Red Rock Dairy,Holstein,387,,,100,FALSE,HO,551,27/03/2022,387,total
1,0,551HO4425,0,1,1,29/03/2022,,Noe Gonzalez,14,1,Chalk,,8450476,Red Rock Dairy,Red Rock Dairy,Holstein,388,,,100,FALSE,HO,551,27/03/2022,388,total
1,0,151AN1692,0,3,3,30/03/2022,20,Noe Gonzalez,14,0,Chalk,,8598378,Red Rock Dairy,Red Rock Dairy,Holstein,426,666,,100,FALSE,AN,151,27/03/2022,387,total
1,0,551h0o4429,0,2,2,30/03/2022,18,Noe Gonzalez,14,0,Chalk,,8553603,Red Rock Dairy,Red Rock Dairy,Holstein,409,,,100,FALSE,,,27/03/2022,391,total
0,0,551h0o4429,0,3,3,30/03/2022,38,Noe Gonzalez,14,0,Chalk,,8300410,Red Rock Dairy,Red Rock Dairy,Holstein,455,,,0,FALSE,,,27/03/2022,397,total
0,0,551HO4429,0,2,2,31/03/2022,65,Hernan Roque,21,1,,,8192815,Red Rock Dairy,Red Rock Dairy,Holstein,450,,,0,FALSE,HO,551,27/03/2022,385,total
1,0,151AN1692,0,4,4,31/03/2022,40,Noe Gonzalez,14,0,Chalk,,8269963,Red Rock Dairy,Red Rock Dairy,Holstein,463,,,100,FALSE,AN,151,27/03/2022,382,total
0,0,551AN1609,0,2,2,31/03/2022,20,Noe Gonzalez,14,1,Chalk,,8486473,Red Rock Dairy,Red Rock Dairy,Holstein,400,666,,0,FALSE,AN,551,27/03/2022,380,total
1,0,551h0o4429,0,2,2,31/03/2022,17,Noe Gonzalez,14,0,Chalk,,8486487,Red Rock Dairy,Red Rock Dairy,Holstein,400,,,100,FALSE,,,27/03/2022,383,total
0,0,151AN1692,0,4,4,31/03/2022,20,Noe Gonzalez,14,0,Chalk,,8360926,Red Rock Dairy,Red Rock Dairy,Holstein,474,,,0,FALSE,AN,151,27/03/2022,401,total
0,0,151AN1692,0,4,4,31/03/2022,20,Noe Gonzalez,14,0,Chalk,,8196491,Red Rock Dairy,Red Rock Dairy,Holstein,448,,,0,FALSE,AN,151,27/03/2022,391,total
0,0,551h0o4429,0,2,2,01/04/2022,19,Noe Gonzalez,14,0,Chalk,,8486474,Red Rock Dairy,Red Rock Dairy,Holstein,401,,,0,FALSE,,,27/03/2022,382,total
1,0,551h0o4429,0,1,1,01/04/2022,,Noe Gonzalez,14,0,Chalk,,8504495,Red Rock Dairy,Red Rock Dairy,Holstein,396,,,100,FALSE,,,27/03/2022,396,total
1,0,151AN1692,0,3,3,01/04/2022,15,Noe Gonzalez,14,0,Chalk,,8387204,Red Rock Dairy,Red Rock Dairy,Holstein,470,,,100,FALSE,AN,151,27/03/2022,389,total
0,0,551HO4425,0,2,2,01/04/2022,0,Noe Gonzalez,15,1,Chalk,,8905169,Red Rock Dairy,Red Rock Dairy,Holstein,385,,,0,FALSE,HO,551,27/03/2022,385,total
0,0,551HO4425,0,1,1,01/04/2022,,Noe Gonzalez,15,1,Chalk,,8905169,Red Rock Dairy,Red Rock Dairy,Holstein,385,,,0,FALSE,HO,551,27/03/2022,385,total
1,0,151AN1692,0,4,4,01/04/2022,18,Hernan Roque,14,0,Chalk,,8218918,Red Rock Dairy,Red Rock Dairy,Holstein,443,,,100,FALSE,AN,151,27/03/2022,383,total
1,0,551h0o4355,0,2,2,02/04/2022,20,Rigo Trejo,14,0,Chalk,,8458487,Red Rock Dairy,Red Rock Dairy,Holstein,404,,,100,FALSE,,,27/03/2022,384,total
